,Category,0,1
0,Actual,,
1,0, 138, 34
2,1, 24, 769
3,Overall Statistics :,,
4,95% CI, (0.9249,0.95489)
5,ACC Macro, 0.9399,
6,ARI, 0.7234,
7,AUNP, 0.88603,
8,AUNU, 0.88603,
9,Bangdiwala B, 0.9184,
10,Bennett S, 0.87979,
11,CBA, 0.87999,
12,CSI, 0.79079,
13,Chi-Squared, 603.1167,
14,Chi-Squared DF, 1,
15,Conditional Entropy, 0.28868,
16,Cramer V, 0.79056,
17,Cross Entropy, 0.67675,
18,F1 Macro, 0.895,
19,F1 Micro, 0.9399,
20,FNR Macro, 0.11397,
21,FNR Micro, 0.0601,
22,FPR Macro, 0.11397,
23,FPR Micro, 0.0601,
24,Gwet AC1, 0.9158,
25,Hamming Loss, 0.0601,
26,Joint Entropy, 0.96488,
27,KL Divergence, 0.00055,
28,Kappa, 0.79005,
29,Kappa 95% CI, (0.73766,0.84243)
30,Kappa No Prevalence, 0.87979,
31,Kappa Standard Error, 0.02673,
32,Kappa Unbiased, 0.79001,
33,Krippendorff Alpha, 0.79012,
34,Lambda A, 0.66279,
35,Lambda B, 0.64198,
36,Mutual Information, 0.36415,
37,NIR, 0.82176,
38,Overall ACC, 0.9399,
39,Overall CEN, 0.27843,
40,Overall J, (1.63395,0.81697)
41,Overall MCC, 0.79056,
42,Overall MCEN, 0.22681,
43,Overall RACC, 0.71373,
44,Overall RACCU, 0.71378,
45,P-Value, 0.0,
46,PPV Macro, 0.90476,
47,PPV Micro, 0.9399,
48,Pearson C, 0.62017,
49,Phi-Squared, 0.62499,
50,RCI, 0.53851Predict," 0, 1"
51,Actual,,
52,0, 138, 34
53,1, 24, 769
54,Overall Statistics :,,
55,95% CI, (0.9249,0.95489)
56,ACC Macro, 0.9399,
57,ARI, 0.7234,
58,AUNP, 0.88603,
59,AUNU, 0.88603,
60,Bangdiwala B, 0.9184,
61,Bennett S, 0.87979,
62,CBA, 0.87999,
63,CSI, 0.79079,
64,Chi-Squared, 603.1167,
65,Chi-Squared DF, 1,
66,Conditional Entropy, 0.28868,
67,Cramer V, 0.79056,
68,Cross Entropy, 0.67675,
69,F1 Macro, 0.895,
70,F1 Micro, 0.9399,
71,FNR Macro, 0.11397,
72,FNR Micro, 0.0601,
73,FPR Macro, 0.11397,
74,FPR Micro, 0.0601,
75,Gwet AC1, 0.9158,
76,Hamming Loss, 0.0601,
77,Joint Entropy, 0.96488,
78,KL Divergence, 0.00055,
79,Kappa, 0.79005,
