,Category,0,1
0,Actual,,
1,0, 30, 25
2,1, 0, 117
3,Overall Statistics :,,
4,95% CI, (0.80198,0.90732)
5,ACC Macro, 0.85465,
6,ARI, 0.4725,
7,AUNP, 0.77273,
8,AUNU, 0.77273,
9,Bangdiwala B, 0.79878,
10,Bennett S, 0.7093,
11,CBA, 0.6847,
12,CSI, 0.6847,
13,Chi-Squared, 77.3009,
14,Chi-Squared DF, 1,
15,Conditional Entropy, 0.31786,
16,Cramer V, 0.67039,
17,Cross Entropy, 0.99371,
18,F1 Macro, 0.80468,
19,F1 Micro, 0.85465,
20,FNR Macro, 0.22727,
21,FNR Micro, 0.14535,
22,FPR Macro, 0.22727,
23,FPR Micro, 0.14535,
24,Gwet AC1, 0.76852,
25,Hamming Loss, 0.14535,
26,Joint Entropy, 1.22199,
27,KL Divergence, 0.08958,
28,Kappa, 0.62014,
29,Kappa 95% CI, (0.48248,0.7578)
30,Kappa No Prevalence, 0.7093,
31,Kappa Standard Error, 0.07023,
32,Kappa Unbiased, 0.60936,
33,Krippendorff Alpha, 0.61049,
34,Lambda A, 0.54545,
35,Lambda B, 0.16667,
36,Mutual Information, 0.34986,
37,NIR, 0.68023,
38,Overall ACC, 0.85465,
39,Overall CEN, 0.37344,
40,Overall J, (1.3694,0.6847)
41,Overall MCC, 0.67039,
42,Overall MCEN, 0.26478,
43,Overall RACC, 0.61736,
44,Overall RACCU, 0.62792,
45,P-Value, 0.0,
46,PPV Macro, 0.91197,
47,PPV Micro, 0.85465,
48,Pearson C, 0.55684,
49,Phi-Squared, 0.44942,
50,RCI, 0.38695Predict," 0, 1"
51,Actual,,
52,0, 30, 25
53,1, 0, 117
54,Overall Statistics :,,
55,95% CI, (0.80198,0.90732)
56,ACC Macro, 0.85465,
57,ARI, 0.4725,
58,AUNP, 0.77273,
59,AUNU, 0.77273,
60,Bangdiwala B, 0.79878,
61,Bennett S, 0.7093,
62,CBA, 0.6847,
63,CSI, 0.6847,
64,Chi-Squared, 77.3009,
65,Chi-Squared DF, 1,
66,Conditional Entropy, 0.31786,
67,Cramer V, 0.67039,
68,Cross Entropy, 0.99371,
69,F1 Macro, 0.80468,
70,F1 Micro, 0.85465,
71,FNR Macro, 0.22727,
72,FNR Micro, 0.14535,
73,FPR Macro, 0.22727,
74,FPR Micro, 0.14535,
75,Gwet AC1, 0.76852,
76,Hamming Loss, 0.14535,
77,Joint Entropy, 1.22199,
78,KL Divergence, 0.08958,
79,Kappa, 0.62014,
80,Kappa 95% CI, (0.48248,0.7578)
81,Kappa No Prevalence, 0.7093,
82,Kappa Standard Error, 0.07023,
83,Kappa Unbiased, 0.60936,
84,Krippendorff Alpha, 0.61049,
85,Lambda A, 0.54545,
86,Lambda B, 0.16667,
87,Mutual Information, 0.34986,
88,NIR, 0.68023,
89,Overall ACC, 0.85465,
90,Overall CEN, 0.37344,
91,Overall J, (1.3694,0.6847)
92,Overall MCC, 0.67039,
93,Overall MCEN, 0.26478,
94,Overall RACC, 0.61736,
95,Overall RACCU, 0.62792,
96,P-Value, 0.0,
97,PPV Macro, 0.91197,
98,PPV Micro, 0.85465,
99,Pearson C, 0.55684,
100,Phi-Squared, 0.44942,
