,Category,0,1
0,Actual,,
1,0, 42, 13
2,1, 9, 108
3,Overall Statistics :,,
4,95% CI, (0.82218,0.92201)
5,ACC Macro, 0.87209,
6,ARI, 0.54201,
7,AUNP, 0.84336,
8,AUNU, 0.84336,
9,Bangdiwala B, 0.79165,
10,Bennett S, 0.74419,
11,CBA, 0.8281,
12,CSI, 0.7014,
13,Chi-Squared, 84.58091,
14,Chi-Squared DF, 1,
15,Conditional Entropy, 0.51841,
16,Cramer V, 0.70125,
17,Cross Entropy, 0.90597,
18,F1 Macro, 0.85001,
19,F1 Micro, 0.87209,
20,FNR Macro, 0.15664,
21,FNR Micro, 0.12791,
22,FPR Macro, 0.15664,
23,FPR Micro, 0.12791,
24,Gwet AC1, 0.77702,
25,Hamming Loss, 0.12791,
26,Joint Entropy, 1.42254,
27,KL Divergence, 0.00184,
28,Kappa, 0.70021,
29,Kappa 95% CI, (0.58322,0.8172)
30,Kappa No Prevalence, 0.74419,
31,Kappa Standard Error, 0.05969,
32,Kappa Unbiased, 0.70002,
33,Krippendorff Alpha, 0.70089,
34,Lambda A, 0.6,
35,Lambda B, 0.56863,
36,Mutual Information, 0.35857,
37,NIR, 0.68023,
38,Overall ACC, 0.87209,
39,Overall CEN, 0.48962,
40,Overall J, (1.48702,0.74351)
41,Overall MCC, 0.70125,
42,Overall MCEN, 0.38727,
43,Overall RACC, 0.57335,
44,Overall RACCU, 0.57362,
45,P-Value, 0.0,
46,PPV Macro, 0.85805,
47,PPV Micro, 0.87209,
48,Pearson C, 0.57415,
49,Phi-Squared, 0.49175,
50,RCI, 0.39659Predict," 0, 1"
51,Actual,,
52,0, 42, 13
53,1, 9, 108
54,Overall Statistics :,,
55,95% CI, (0.82218,0.92201)
56,ACC Macro, 0.87209,
57,ARI, 0.54201,
58,AUNP, 0.84336,
59,AUNU, 0.84336,
60,Bangdiwala B, 0.79165,
61,Bennett S, 0.74419,
62,CBA, 0.8281,
63,CSI, 0.7014,
64,Chi-Squared, 84.58091,
65,Chi-Squared DF, 1,
66,Conditional Entropy, 0.51841,
67,Cramer V, 0.70125,
68,Cross Entropy, 0.90597,
69,F1 Macro, 0.85001,
70,F1 Micro, 0.87209,
