,Category,0,1
0,Actual,,
1,0, 132, 40
2,1, 19, 774
3,Overall Statistics :,,
4,95% CI, (0.92374,0.95398)
5,ACC Macro, 0.93886,
6,ARI, 0.71449,
7,AUNP, 0.87174,
8,AUNU, 0.87174,
9,Bangdiwala B, 0.91813,
10,Bennett S, 0.87772,
11,CBA, 0.85915,
12,CSI, 0.78426,
13,Chi-Squared, 591.92783,
14,Chi-Squared DF, 1,
15,Conditional Entropy, 0.27352,
16,Cramer V, 0.7832,
17,Cross Entropy, 0.6787,
18,F1 Macro, 0.89031,
19,F1 Micro, 0.93886,
20,FNR Macro, 0.12826,
21,FNR Micro, 0.06114,
22,FPR Macro, 0.12826,
23,FPR Micro, 0.06114,
24,Gwet AC1, 0.91524,
25,Hamming Loss, 0.06114,
26,Joint Entropy, 0.94972,
27,KL Divergence, 0.0025,
28,Kappa, 0.78081,
29,Kappa 95% CI, (0.72662,0.835)
30,Kappa No Prevalence, 0.87772,
31,Kappa Standard Error, 0.02765,
32,Kappa Unbiased, 0.78062,
33,Krippendorff Alpha, 0.78074,
34,Lambda A, 0.65698,
35,Lambda B, 0.60927,
36,Mutual Information, 0.3523,
37,NIR, 0.82176,
38,Overall ACC, 0.93886,
39,Overall CEN, 0.27615,
40,Overall J, (1.62027,0.81014)
41,Overall MCC, 0.7832,
42,Overall MCEN, 0.224,
43,Overall RACC, 0.72107,
44,Overall RACCU, 0.7213,
45,P-Value, 0.0,
46,PPV Macro, 0.91252,
47,PPV Micro, 0.93886,
48,Pearson C, 0.6166,
49,Phi-Squared, 0.6134,
50,RCI, 0.52099Predict," 0, 1"
51,Actual,,
52,0, 132, 40
53,1, 19, 774
54,Overall Statistics :,,
55,95% CI, (0.92374,0.95398)
56,ACC Macro, 0.93886,
57,ARI, 0.71449,
58,AUNP, 0.87174,
59,AUNU, 0.87174,
60,Bangdiwala B, 0.91813,
61,Bennett S, 0.87772,
62,CBA, 0.85915,
63,CSI, 0.78426,
64,Chi-Squared, 591.92783,
65,Chi-Squared DF, 1,
66,Conditional Entropy, 0.27352,
67,Cramer V, 0.7832,
68,Cross Entropy, 0.6787,
